Chr	Mb_NCBI38	cM
UNC14955278	8	68660013	33.879
UNC1383332	1	109512395	50.6963
JAX00022021	10	107009286	55.6866
UNC25650965	15	56663326	23.3053
UNC23954378	14	46802594	24.3159
UNC27977521	17	49505247	25.6226
JAX00625714	6	128252899	62.9323
UNC30082900	19	23749899	18.448
UNC7361619	4	62843781	33.5487
UNC29312306	18	55966804	30.1121
UNC20364363	11	109819449	72.6626
UNC8520565	4	154943667	85.9218
JAX00055986	14	93098067	45.803
UNC27181570	16	78154098	45.0145
UNC1717832	1	134213279	58.1597
UNC13854771	7	130432519	73.187
UNC9707711	5	93163082	47.291
UNC22745395	13	63563118	32.796
UNC010414123	1	185073154	89.3801
UNC13646627	7	113472789	59.2041
UNC29384701	18	60486788	34.356
UNC2227722	1	173995242	80.8158
UNC7287423	4	55276311	29.6599
JAX00591446	5	108104834	52.4893
UNC24199949	14	70351561	36.322
UNC12650794	7	37627706	24.8795
UNC7962711	4	109980967	51.371
JAX00250618	1	52011530	26.6751
JAX00170028	9	35904914	20.5173
UNC31415090	X	143655300	64.6602
UNC27009612	16	66269925	37.766
UNC22264104	13	23711935	9.8854
UNC18961127	10	127559981	74.5352
UNC14440776	8	32299498	19.011
UNC26122681	15	92469703	46.5725
UNC2958822	2	44022022	26.31
UNC24212330	14	71494554	37.258
JAX00514816	3	9983782	2.469
UNC8594535	5	7518518	3.369
UNC2449523	1	192941983	97.551
UNC11889912	6	113892242	52.89
UNC27282422	16	84526293	46.925
UNC17552648	10	21095741	9.754
UNC6735704	4	11397555	5.105
UNC2275421	1	176904110	82.664
UNC12634708	7	36599017	22.4917
UNC4553907	2	174417480	97.9336
UNC22856979	13	73431208	39.8993
UNC2024255	1	157652385	68.0335
JAX00463530	18	68733115	42.5824
UNC22746181	13	63635984	32.796
UNC27541770	17	8923422	5.4655
UNC16551206	9	67800808	36.7483
UNC10395913	5	147351982	86.8912
UNC3517918	2	92007729	50.635
UNC30342371	19	42422508	36.3106
UNC7040804	4	34597872	16.8282
UNC26130887	15	93178832	47.2735
JAX00126776	5	7329700	3.369
UNC23182123	13	98148423	51.7958
UNC28484128	17	83427876	52.845
UNC13227439	7	81271842	45.707
UNC22259223	13	23123599	9.546
UNC11062621	6	50676698	24.3427
UNC17487464	10	16151205	6.0846
UNC9273393	5	59299820	31.653
backupUNC160036643	16	34138887	24.3079
UNC19584739	11	49066090	29.07
JAX00500181	2	114176810	57.6044
UNC20368741	11	110081963	73.1795
backupUNC150068734	15	26623276	9.874
UNC15451816	8	107234395	53.8428
UNC120395328	12	44390812	20.706
UNC2122148	1	166137112	73.4931
UNC23277128	13	105002149	56.9125
UNC23964595	14	47683829	24.599
UNC24780695	14	112778502	57.9876
UNC16914459	9	95240912	49.961
JAX00497176	2	96494554	52.3336
UNC12187635	6	137266933	66.7564
UNC070054688	7	25651035	13.9539
UNC30103065	19	24872215	19.8524
UNC27112115	16	73500164	41.8299
JAX00512219	2	173995780	97.7329
backupUNC080273947	8	76227149	35.653
UNC20829544	12	30939569	13.0168
backupJAX00686383	9	15999266	5.1791
B6_X-078333143-S	X	81087804	38.38
UNC22267580	13	23940550	10.0075
JAX00094642	2	56923115	31.659
UNC11375215	6	74542256	32.4697
UNC12632907	7	36499265	22.192
UNC14048989	7	145051910	88.98
UNC_rs33273392	7	84430169	48.346
JAX00033222	12	11157516	5.58
UNC18807186	10	117496335	65.9477
JAX00621118	6	106661797	49.151
UNC3824754	2	117913425	59.2989
UNC16983798	9	100290556	52.5583
UNC9797814	5	101916478	48.971
UNC11608619	6	93442728	42.0951
UNC8468381	4	151667183	82.686
UNC130125999	13	75912560	40.952
UNC29355130	18	58694714	33.712
UNC24549923	14	96354476	47.1884
backuprs50197071	15	102340275	57.4926
UNC30593037	19	59832223	56.278
JAX00535130	3	117433231	50.6636
UNC21420131	12	75641601	32.8941
UNC18446484	10	92924522	47.4938
UNC17084364	9	107343066	58.0051
UNC3516006	2	91732776	50.635
UNC24223697	14	72300282	37.5097
UNC27436705	16	94471321	55.2063
UNC19223058	11	20886513	13.6348
UNC30179694	19	30156342	24.9884
UNC29071642	18	38385706	20.2898
UNC22443650	13	38132226	17.9822
JAX00094264	2	51894064	29.982
UNC3993541	2	132615991	64.742
UNC3352298	2	75628596	44.751
UNC11507375	6	83748204	35.94
UNC020186170	2	125243955	61.3272
UNC170206132	17	80885117	50.967
UNC9005754	5	39519959	21.0686
UNC3221776	2	65692072	38.6398
UNC29612458	18	75006937	50.9611
UNC4329428	2	159353337	79.978
UNC27928059	17	46139754	22.8781
UNC21128322	12	53580193	22.617
UNC1733690	1	135464050	58.8895
UNC4007994	2	133648006	65.2504
UNC9817796	5	103061674	49.636
JAX00329817	12	33213291	14.1066
UNC27392975	16	91658516	53.2331
UNC19866648	11	69248877	42.508
UNC4254855	2	153587543	75.6766
UNC28310569	17	72384308	44.6089
backupJAX00269153	1	139478830	61.5082
JAX00527615	3	79422986	34.914
UNC7815466	4	98759294	45.598
UNC21588734	12	90175559	43.8693
UNC4190659	2	148259115	73.4199
UNC22260960	13	23400135	9.5831
UNC23748442	14	27803901	16.5678
JAX00002883	1	41590612	20.135
UNC26608238	16	33084087	23.6153
UNC5042925	3	36377821	17.4359
UNC22628513	13	54114098	28.4
UNC081264241	8	99956585	49.57
JAX00590645	5	104702188	50.683
backupUNC090358884	9	98923970	51.406
UNC21354984	12	70531772	29.132
JAX00702328	9	94753691	49.3295
UNC3272170	2	69150860	39.5996
JAX00119417	4	58363486	32.1172
UNC11127691	6	55424734	27.377
UNC5867432	3	102376509	45.2065
JAX00146645	6	128570286	63.058
UNC2954837	2	43659712	25.8168
UNC4453243	2	168165717	88.388
UNC13853510	7	130336505	73.187
backupJAX00420694	16	51052708	31.5104
UNC18959631	10	127411392	74.498
UNC19315372	11	28573554	16.2217
UNC6251370	3	131075347	60.7633
UNC10066294	5	123270147	62.8759
JAX00131683	5	74382135	39.503
UNC10257595	5	136702194	76.029
UNC11016167	6	46841762	22.4152
UNC24568317	14	97452956	47.9936
UNC6359715	3	138790999	64.4483
UNC11633665	6	95036694	44.2067
JAX00119182	4	55253002	29.6487
UNC12366291	6	149567242	79.0238
UNC21697692	12	97068124	46.733
UNC24679660	14	106409403	56.165
UNC18925693	10	125281409	72.313
UNC10013273	5	118740907	59.6123
UNC16588711	9	70430363	39.535
JAX00601929	6	4124793	1.806
UNC9935869	5	113050651	55.376
JAX00705601	9	111855074	62.191
JAX00166681	8	116972836	63.4168
JAX00051369	14	29268722	16.796
UNC13985059	7	139300812	84.5205
UNC6246032	3	130690148	60.5265
UNC20591727	12	8232713	3.855
UNC4560268	2	174861035	98.1471
JAX00000980	1	16162132	4.9825
backupUNC130149286	13	85808377	45.102
backupUNC120287742	12	29355413	11.859
UNC17159090	9	113369198	63.915
UNC12829101	7	51908547	32.8828
JAX00021097	10	94629011	49.0218
UNC27957527	17	48302418	23.986
UNC18550407	10	100255705	51.4338
UNC19420076	11	36589449	21.961
JAX00002871	1	41422748	20.135
UNC19370512	11	33024697	19.1998
UNC30213881	19	32772944	28.2526
JAX00042387	13	20335379	7.2746
UNC3070227	2	53222692	30.694
UNC6710710	4	9503735	4.1918
UNC14209961	8	14788759	7.587
UNC25006691	15	8929676	3.821
UNC17557585	10	21505563	9.7758
UNC9112503	5	47372057	26.019
JAX00183894	X	118785103	49.582
UNC6331986	3	136924790	63.3878
JAX00472093	19	17360546	12.7818
JAX00643900	7	75508950	43.756
UNC26005921	15	84339380	39.78
JAX00156599	7	123651034	67.417
UNC_rs30064872	6	26866227	11.9409
UNC26347458	16	11963441	6.8505
UNC14270413	8	18327063	9.8023
UNC15286183	8	94503318	46.533
UNC3434180	2	82618251	49.077
UNC14247821	8	16892163	8.7369
UNC24299433	14	77654731	40.9011
UNC2967641	2	45157118	27.3409
UNC19152886	11	15955937	8.7427
UNC1347734	1	106942683	50.344
UNC4596997	2	180516349	103.0521
UNC26286717	16	7089616	3.38
UNC30309705	19	40314412	34.2464
UNC4406587	2	164634499	85.2315
UNC28366015	17	75907418	47.0616
UNC2098492	1	164371981	71.6857
UNC12389803	7	5900596	3.4177
UNC2178186	1	169969929	76.838
UNC23972545	14	48316187	24.599
UNC27928899	17	46220950	22.899
UNC26045297	15	87218387	41.4953
UNC6702261	4	8995743	3.91
UNC8263428	4	133997260	66.4944
UNC22498750	13	42468941	20.8925
UNC20529978	11	120989206	84.7872
UNC18955855	10	127084539	74.498
JAX00380365	14	54268901	27.7171
UNC12014770	6	124859657	59.17
UNC25039712	15	11505542	5.6566
UNC070433580	7	120814862	64.9233
UNC27852728	17	40401254	19.4971
JAX00119636	4	62692342	33.2419
UNC8636725	5	10864099	3.782
UNC13810037	7	127172345	69.37
UNC030239481	3	137900043	63.9597
UNC12896331	7	55796223	33.424
UNC13242846	7	82407125	47.179
UNC6938795	4	26966335	11.316
JAX00661805	8	15267335	7.8982
UNC9114329	5	47496100	26.019
UNC29359734	18	58999449	33.8708
JAX00416833	16	29421836	20.2944
JAX00089161	19	41689246	35.0998
UNC15461300	8	108003612	55.0287
UNC24171938	14	68035366	35.2378
UNC23977204	14	48728688	25.358
JAX00085156	18	75259621	51.0515
UNC15484083	8	109919762	57.3632
UNC4936473	3	28845894	12.3182
UNC16475910	9	61574399	33.3581
UNC5197448	3	47863306	20.8682
UNC6048035	3	117470251	50.8189
JAX00015883	10	24279803	11.5074
JAX00171950	9	61586529	33.3632
UNC4485979	2	170146060	90.1247
UNC9958096	5	114606036	55.994
JAX00024433	11	11842432	7.1073
UNC6335128	3	137158095	63.5077
UNC23357285	13	110420829	62.0303
UNC14455469	8	33202241	20.2926
UNC4996455	3	33117196	16.0143
UNC25712602	15	61248886	25.705
UNC10027975	5	119950488	60.4983
UNC6324718	3	136397693	63.0972
UNC5182782	3	46809519	20.785
UNC17061374	9	105554311	56.7552
JAX00125010	4	135742891	67.9961
UNC5279465	3	53355367	25.0061
UNC21595530	12	90766097	44.055
UNC020006684	2	7375358	3.927
JAX00039727	12	101087056	51.1943
UNC15739421	8	127755016	74.8869
JAX00581857	5	50310674	26.886
UNC23268059	13	104186732	56.361
UNC24956990	15	4729387	1.971
UNC15674177	8	123345352	72.098
UNC9083687	5	45290189	24.6944
UNC29086161	18	39424641	21.088
UNC21858339	12	108585327	59.462
JAX00067801	16	29194103	20.0026
UNC160200551	16	30515967	21.345
UNC13020346	7	65970847	35.4215
UNC30574071	19	58116866	54.095
UNC2165985	1	169250939	76.728
JAX00725100	M	2840	NA
UNC5340061	3	57736834	28.0434
UNC4103405	2	141330928	70.0345
UNC170097650	17	41440346	19.5908
UNC20791610	12	28556574	10.9701
UNC19157089	11	16257227	8.894
UNC23240731	13	102365550	54.35
UNC6714763	4	9726147	4.2983
UNC200029837	X	106115834	47.361
JAX00123104	4	109077305	50.773
UNC20111092	11	90735315	55.8327
UNC12162881	6	135847867	66.4506
UNC9620415	5	86356529	43.565
UNC100216358	10	85228033	41.627
backupUNC020120299	2	99879211	53.374
UNC26162515	15	95594592	50.4344
UNC20322455	11	106957777	70.069
UNC8322352	4	138044968	70.021
UNC9804968	5	102317943	49.4964
UNC3338888	2	74425434	44.1025
UNC3910616	2	125620908	61.759
UNC3073250	2	53473070	30.694
JAX00579615	5	39402304	20.891
UNC5661605	3	82944817	36.8708
UNC6265083	3	132059350	61.316
JAX00101421	2	148295488	73.4241
UNC19187833	11	18428135	10.6882
JAX00358886	13	55922954	30.058
JAX00635568	7	35475828	21.367
JAX00034174	12	26288994	9.694
JAX00576938	5	26729956	12.9028
UNC8309240	4	137102096	69.299
UNC25183566	15	22725310	8.538
UNC8511055	4	154292351	83.962
UNC21554313	12	86751586	40.9154
UNC8460531	4	151192014	82.0908
UNC19525626	11	44579184	26.197
UNC24099370	14	62501427	33.233
UNC692837	1	54299162	27.0878
JAX00111268	3	104444403	45.619
JAX00008061	1	111029605	50.784
UNC17158578	9	113335913	63.9018
JAX00326602	12	15572746	7.0455
UNC7595268	4	80858818	37.8943
UNC21854347	12	108328533	59.3981
UNC20222166	11	98915692	62.7428
UNC21178302	12	57572570	24.695
UNC22748685	13	63824617	33.1269
UNC29718114	18	82106750	55.7138
UNC6243788	3	130549671	60.4205
UNC21360091	12	70862425	29.393
UNC25409231	15	39122846	15.4443
UNC28635811	17	94236078	60.8566
UNC21496176	12	82154806	38.1289
UNC27961766	17	48541090	24.4505
UNC5514046	3	72821988	32.593
JAX00296564	10	95038824	49.2007
UNC13447275	7	97920281	53.573
UNC8977875	5	37550600	20.2037
UNC22968040	13	82991009	43.678
UNC19058452	11	9599781	6.126
UNC22839919	13	72308397	38.8683
UNC17047988	9	104783218	56.612
JAX00586227	5	75200649	39.5486
UNC6856774	4	20681123	8.732
UNC15468899	8	108651248	55.8712
UNC12924281	7	57696684	33.5747
UNC28282900	17	70703340	41.874
UNC6905295	4	24639993	10.4445
UNC29460726	18	65500236	38.7183
JAX00625020	6	125109454	59.309
UNC5101740	3	40169877	19.2967
UNC180084413	18	39847362	21.1766
CEAJAX00090652	2	3394700	1.9119
UNC13737530	7	120565765	64.898
UNC12892258	7	55444910	33.373
UNC1628428	1	126926140	55.5971
UNC16788295	9	85366452	46.0658
UNC4588588	2	179822094	102.3309
backupUNC051738198	5	120993031	61.715
UNC718116	1	56252978	28.6447
UNC26806911	16	50601161	31.496
UNC30421308	19	48073383	40.9668
UNC30593610	19	59900262	56.278
UNC070622599	7	17158519	9.152
JAX00132736	5	88379256	43.565
JAX00696496	9	64351902	34.6474
JAX00027255	11	49976548	30.1027
UNC20786593	12	28198593	10.761
UNC27318437	16	86879915	49.2297
UNC263810	1	22400540	8.589
UNC20250877	11	101067532	64.1455
JAX00032420	11	119431386	83.6047
UNC9819843	5	103187765	49.9166
JAX00517662	3	27988622	11.353
UNC12043942	6	127204811	61.9842
UNC8666228	5	13781071	5.233
UNC11026962	6	47947937	22.937
UNC24026686	14	54245111	27.7071
UNC2405890	1	188990344	93.5682
UNC20085685	11	89124579	54.342
UNC23139274	13	95555286	50.1107
JAX00593716	5	116763367	56.7816
UNC19185527	11	18270123	10.5849
JAX00474593	19	26654821	21.2053
UNC120281659	12	15446915	7.031
UNC20690431	12	15944481	7.4443
UNC25193318	15	23540130	8.9292
UNC170373204	17	94112201	60.777
UNC170229408	17	91420147	60.426
UNC20808268	12	29619547	11.859
UNC30513635	19	53910742	48.7656
UNC16991061	9	100801186	52.94
JAX00045106	13	56794023	30.3177
UNC23396698	13	112687234	63.929
UNC30593983	19	59955662	56.2795
UNC30275281	19	37531484	32.313
UNC28610918	17	92048074	60.502
UNC20188498	11	96025584	59.2099
UNC30984480	X	77155328	38.295
UNC15228545	8	90700506	44.1318
UNC13050355	7	68169076	37.4204
UNC15208547	8	89449977	43.5933
JAX00568289	4	137888999	70.021
JAX00393190	15	10563883	5.349
UNC19976684	11	79948690	47.3086
UNC26387456	16	15567181	10.086
JAX00509978	2	162914663	83.8481
UNC28017226	17	52687441	27.4163
UNC12730725	7	45499562	29.3326
JAX00181069	X	80241287	38.38
UNC28769176	18	14359854	7.9452
UNC20782559	12	27860210	10.1591
UNC10255528	5	136551492	76.029
UNC1561385	1	122312207	53.009
UNC10254441	5	136440045	76.0085
UNC11113482	6	54383857	26.9075
UNC19649916	11	54121831	32.133
JAX00519986	3	37514189	18.461
UNC19870921	11	69707488	42.86
JAX00344152	12	104005212	52.98
UNC10580398	6	12832926	5.3558
UNC8391242	4	142928951	76.4185
UNC10371047	5	145154490	85.0643
UNC6664886	4	6093982	2.8815
UNC26224459	15	101038722	56.39
UNC16817034	9	87274660	46.8242
UNC22281152	13	24857836	10.7258
UNC9682089	5	91390597	44.78
UNC12808973	7	50467454	32.467
UNC17059134	9	105405883	56.612
JAX00159301	8	17364402	9.357
UNC4302398	2	157531054	78.4
UNC14513007	8	36539070	23.047
UNC10069457	5	123576914	63.0624
UNC16708567	9	79591182	43.8065
JAX00451598	18	9368175	4.905
JAX00172602	9	70297336	39.5166
JAX00609850	6	51273476	24.6489
UNC1038581	1	81841554	41.81
UNC29951090	19	15940815	10.8783
UNC15470208	8	108776903	56.1426
UNC2192846	1	170936189	77.812
UNC3276912	2	69448230	40.8213
UNC12157859	6	135537237	66.279
UNC12372829	7	3649040	2.1028
UNC13082127	7	70578295	38.7059
UNC3879075	2	123189732	60.692
UNC28218389	17	66829100	38.013
UNC19456217	11	39529303	23.707
JAX00474064	19	24645447	19.7363
UNC17147624	9	112682246	62.9043
UNC22388807	13	34073896	14.0302
UNC15209063	8	89484907	43.6357
UNC19700603	11	57519395	35.273
UNC5649841	3	82192938	35.9852
UNC16917572	9	95471435	50.1182
UNC5675778	3	84060519	37.4479
UNC5173903	3	46190971	20.6601
UNC13258129	7	83562636	47.428
UNC30805672	X	48986121	25.7852
UNC15344136	8	98959225	49.39
UNC22265895	13	23823472	9.945
UNC17605288	10	25074174	12.256
JAX00115132	3	156581608	80.6115
UNC22415720	13	36097194	14.436
UNC170301400	17	27000977	13.6272
UNC20068486	11	87924758	52.3002
UNC8462114	4	151286481	82.589
JAX00090476	19	59241076	54.6344
JAX00592773	5	113297546	55.4921
JAX00394598	15	17328530	7.909
UNC27281862	16	84482509	46.925
UNC2197937	1	171347281	79.3531
UNC040466207	4	155029992	86.167
UNC15290766	8	94925930	47.0294
UNC8905523	5	31814280	17.2765
UNC13889260	7	132897544	76.3174
UNC20907554	12	36821456	16.837
UNC36398	1	6529432	1.89
UNC12637339	7	36766846	22.9958
UNC19429514	11	37367106	22.875
UNC26563425	16	29359971	20.1562
UNC9723227	5	96761632	47.291
UNC090336865	9	70125789	39.3145
JAX00102129	2	157769362	78.4
UNC15224829	8	90464333	43.96
JAX00316215	11	80617602	48.1127
UNC859504	1	68175930	33.9376
UNC8378774	4	141834001	74.751
JAX00187473	11	26596638	15.943
backupUNC030018875	3	20458054	6.5288
UNC3196390	2	63521962	36.8349
UNC14176199	8	12453323	5.726
JAX00325157	12	9110313	3.989
UNC120117169	12	39694333	18.057
UNC19423663	11	36899284	22.665
UNC28013329	17	52421375	27.2806
UNC5755839	3	92195221	40.144
UNC14916610	8	65851762	33.058
UNC780992	1	61709631	31.0769
UNC8957473	5	36222575	19.141
UNC26953681	16	62038130	36.362
UNC8347024	4	139864986	70.9286
UNC20544708	12	3569173	1.881
UNC120026302	12	17633750	8.1226
UNC20190084	11	96180933	59.5968
UNC30421895	19	48103472	41.047
JAX00623801	6	117948904	55.7158
UNC26663439	16	37916318	26.5354
UNC11642770	6	95695944	44.675
JAX00700683	9	85683304	46.3397
UNC13778748	7	124359920	67.9025
UNC28405157	17	78406169	48.7471
UNC27795941	17	33661748	17.982
UNC13039078	7	67286259	36.7832
UNC12877196	7	54509468	33.157
UNC14208437	8	14706307	7.587
UNC070452430	7	144397959	88.8091
UNC18853835	10	120689497	68.6537
UNC8161205	4	126107194	59.8924
UNC838213	1	66673069	33.6028
JAX00642368	7	68425523	37.5954
UNC504450	1	40108579	18.6773
UNC6607254	3	156423596	80.4987
UNC3117652	2	57100729	31.659
UNC6723562	4	10500298	4.6693
UNC13625638	7	111998229	58.74
UNC12740303	7	46147532	29.656
JAX00664930	8	32363612	19.011
UNC22625682	13	53885767	28.3263
UNC30365954	19	44118715	36.7185
UNC080079721	8	22134556	11.0838
backupUNC131401561	13	24677717	10.5804
UNC21415496	12	75164988	32.624
UNC29971338	19	17221707	12.6339
JAX00120933	4	80102358	37.888
UNC18999433	11	4732567	2.979
UNC20804370	12	29341405	11.859
UNC2749919	2	24890435	16.8106
UNC21489424	12	81645067	37.8584
UNC27781396	17	32264453	17.4301
UNC11043717	6	49387679	23.8712
UNC14554862	8	39208145	23.893
UNC6847933	4	20036043	7.7831
UNC19757231	11	61946339	37.964
JAX00172457	9	68381775	37.2524
backupUNC050086001	5	33467078	17.6951
UNC22547626	13	46807299	24.497
UNC29374486	18	59839214	34.356
UNC4422726	2	165771561	85.963
UNC16856548	9	91103060	48.1327
backupUNC030186584	3	117005057	50.4891
UNC2153422	1	168392424	76.254
UNC27547496	17	9425352	7.3496
UNC160242856	16	97784215	57.6557
UNC21629765	12	93030806	45.198
UNC20688975	12	15803045	7.2659
UNC13655594	7	114173286	59.3052
UNC26760627	16	46878858	30.598
UNC2415084	1	189688931	95.029
UNC7558694	4	78253225	37.3589
JAX00297286	10	100541761	51.4944
JAX00162631	8	62925148	31.9598
UNC9939382	5	113286612	55.4829
UNC020448956	2	94030822	51.624
UNC30561002	19	57176782	52.1438
UNC10533580	6	8590539	4.382
UNC2041731	1	159130098	69.0153
UNC14450292	8	32885910	19.0834
UNC20442111	11	114183791	79.65
UNC12824866	7	51603092	32.7755
UNC9087694	5	45543818	25.0551
UNC17469598	10	14729976	5.505
UNC23950845	14	46534428	24.0823
backupUNC060423933	6	131264340	63.435
UNC12802049	7	49944193	31.7501
UNC16677116	9	77377890	42.8644
UNC11418531	6	77330132	34.037
UNC27040319	16	68436320	39.0838
UNC18822234	10	118657921	66.746
UNC29340355	18	57777734	32.145
UNC9091064	5	45809134	25.4325
UNC10868681	6	34989038	15.196
UNC30375331	19	44736741	38.0736
UNC26378937	16	14706839	10.0734
JAX00030071	11	88044579	52.403
UNC20807072	12	29544058	11.859
JAX00636660	7	40364728	26.863
UNC18918911	10	124896407	72.313
JAX00387621	14	98129200	48.5189
UNC19082169	11	11113177	6.27
UNC5054583	3	37186642	18.3381
UNC18421092	10	90950850	45.4561
UNC12615614	7	35497989	21.367
JAX00396534	15	28897866	11.952
UNC31339856	X	134199664	55.9207
UNC12247625	6	141017920	71.4411
UNC4683846	3	9527564	2.356
UNC120286281	12	25784824	9.176
JAX00473644	19	23376371	18.3524
UNC4404719	2	164518908	85.1834
UNC5701948	3	85985044	37.825
JAX00591603	5	108723633	53.238
UNC30306526	19	40119102	34.245
UNC20087585	11	89249982	54.342
backupUNC040088866	4	64979273	34.0947
UNC27315529	16	86620118	49.1508
backupUNC180192740	18	82379028	55.78
JAX00053624	14	61191513	32.13
UNC25844109	15	70988108	32.192
backupJAX00483912	2	14964830	10.9235
UNC11018236	6	47028063	22.5956
UNC23401451	13	112968467	63.929
UNC3551443	2	94551973	52.006
UNC18348556	10	85190052	41.627
UNC25571983	15	50798189	19.176
UNC27960937	17	48494979	24.2869
JAX00113121	3	129504065	58.052
UNC12633339	7	36522184	22.2608
UNC100229144	10	93562919	48.5564
UNC14315837	8	23613642	11.496
UNC975735	1	77014271	39.3123
UNC9092817	5	45975375	25.6689
UNC21344127	12	69816781	28.936
UNC8863233	5	28126291	13.943
JAX00427104	16	87618900	49.6854
UNC14793993	8	56804481	29.699
UNC20813512	12	29973047	12.997
UNC21850629	12	108057591	59.1961
UNC20161523	11	93872176	58.85
JAX00495680	2	87803796	49.9617
JAX00654967	7	125864802	69.012
UNC8996795	5	38783438	20.8856
JAX00401829	15	56977515	23.662
JAX00048130	13	98656992	52.108
UNC12022030	6	125510863	59.322
UNC21877194	12	110132320	60.561
JAX00033353	12	12915008	6.1206
UNC9947177	5	113875180	55.7033
JAX00671541	8	68955756	33.879
UNC20571214	12	6312830	2.8168
backupJAX00012423	1	169586241	76.838
UNC7721697	4	90926763	42.361
UNC20358593	11	109454960	71.9449
backupUNC070452965	7	144687383	88.854
JAX00585743	5	73332819	38.6248
UNC3054910	2	52112031	29.982
UNC25916247	15	76791270	36.281
UNC12375684	7	4141650	2.3905
JAX00076936	17	57286009	29.7616
UNC4515248	2	171871601	94.6869
JAX00593458	5	115891953	56.103
UNC22747550	13	63733646	32.8677
backupUNC120488539	12	11818612	5.58
UNC11238167	6	64310632	29.964
UNC23379358	13	111684467	63.362
UNC11892669	6	114084982	52.9555
UNC16215842	9	40455284	21.419
JAX00148593	7	10519813	6.4855
